"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.2190|FAP1",54.2649348871504,-1.41338248475815,0.414756008854963,-3.40774444392052,0.0006550220967974,0.00335593798226373
"MSTRG.2189",182.696132714749,-1.46214008474203,0.263018746357562,-5.55907175815642,2.71213181808836e-08,3.36592284496243e-07
"MSTRG.2202",71.911050920214,1.14904006215001,0.275135068842215,4.17627628126519,2.96319890066487e-05,0.000209094257091745
"MSTRG.2206",10.066229737944,5.78477604780336,1.32469332680335,4.36687943598445,1.26034249863481e-05,9.58704547526134e-05
"MSTRG.2224|SMP11",29.6608220443685,-1.12034957436939,0.43366331370303,-2.58345481152828,0.00978162800788973,0.0337694510465648
"MSTRG.2218",24.3465278075228,-1.58461265365113,0.498430193225983,-3.17920678800587,0.00147678695268151,0.00678946182004936
"MSTRG.2225|TRXZ1",151.343972883251,-1.22958997430773,0.261952658211826,-4.69393967101273,2.67993096896459e-06,2.3193000840827e-05
"MSTRG.2238",15.7349166641834,-3.85384074492262,0.819698280019138,-4.70153572218383,2.5821207897177e-06,2.24442626106791e-05
"MSTRG.2240",223.499357124013,7.20978279547008,0.536483470004755,13.4389654082095,3.57398490482288e-41,4.94080104494558e-39
"MSTRG.2235|MOT19",68.4460035918065,-1.31725223196331,0.422261471810619,-3.11951792882038,0.00181147236349892,0.00811406584111777
"MSTRG.2237",42.9188078540203,1.59892722889756,0.439667138072965,3.63667668205897,0.000276178230472549,0.00156922141102666
"MSTRG.2255",19.2417034063709,1.85265622505543,0.551090307463765,3.36180150505958,0.000774357664777015,0.0038847390831887
"MSTRG.2246|PCK1",6360.04029667121,-2.74353136558169,0.295526153906839,-9.28354844169412,1.63926264880739e-20,8.06842030673063e-19
"MSTRG.2267",10.8081393240484,-6.87813124870666,1.3909779942084,-4.94481672416463,7.62155340826211e-07,7.36580280149246e-06
"MSTRG.2266",105.995323425018,-1.82422632283806,0.298601556736507,-6.10923245938666,1.00111423529812e-09,1.55227086297341e-08
"MSTRG.2289",43.349245445595,1.58505561353973,0.347181747640756,4.56549235180375,4.98323365922663e-06,4.09423507567881e-05
"MSTRG.2295|MMP13",42.6780308213415,-1.36157578099751,0.369109308050071,-3.6888145362425,0.00022530137322548,0.00130819621312589
"MSTRG.2292",138.877535850191,-2.25439384762989,0.236862628991813,-9.51772703539407,1.77008175479781e-21,9.2873794514111e-20
"MSTRG.2304",98.1872629248226,-3.43713754847573,0.390944106920712,-8.79188990863295,1.47064843041591e-18,6.01037756985914e-17
"MSTRG.2284",96.7190867466494,1.25673807010001,0.289637706295417,4.33900021573226,1.43132382229791e-05,0.000107691368324147
"MSTRG.2282",12.7807522166593,-2.39335003129439,0.928638694904605,-2.57726718090316,0.00995849425064266,0.0342758479317422
"MSTRG.2302",1271.58507856108,2.81621582718453,0.223876892810903,12.5793054916268,2.74431893135296e-36,3.09426825323755e-34
"MSTRG.2309",50.3750376099701,1.07201928413796,0.440581171280043,2.43319359523096,0.0149662964374031,0.0483311356412419
"MSTRG.2306",56.1485411629213,2.03134601235341,0.327118340380989,6.20981999965987,5.30453264574305e-10,8.65826078049518e-09
"MSTRG.2307|MAS1",4622.32832183063,-4.35374530496229,0.254891593529887,-17.0807724361133,2.06368681481878e-65,7.29077621821977e-63
"MSTRG.2323",494.553623449735,4.20540892128487,0.300296548399079,14.0041866738212,1.46952414715427e-44,2.40850462798543e-42
"MSTRG.2319|CPLD33",146.2805802103,-1.46762399467996,0.217173390453601,-6.7578444652662,1.40059761460637e-11,2.84014041798624e-10
"MSTRG.2322|TEF11",133.661065284571,-2.65128628399502,0.301267385012262,-8.80044245044019,1.36277788322902e-18,5.58387700710693e-17
"MSTRG.2350",121.307436470736,1.71990742355484,0.259597735832487,6.62527898419213,3.46592954395003e-11,6.65475216059391e-10
"MSTRG.2359",4.51957041712879,-5.61651475577696,1.55446305104649,-3.613154234831,0.000302494646006347,0.00169631741876857
"MSTRG.2357|HHL1",676.468535434972,-2.1822417596042,0.189943869507587,-11.4888770312065,1.50049744326566e-30,1.23600561414702e-28
"MSTRG.2330",20.2797758385053,-2.44799510741646,0.660440379205815,-3.70661029290819,0.000210051782990845,0.00122862518248288
"MSTRG.2329",12.3119617921255,2.11403210526105,0.843856676593991,2.50520279556689,0.0122381201994892,0.0407203086922309
"MSTRG.2337",2897.28604720243,1.41994421840718,0.183733012239697,7.72830206775652,1.0899048003549e-14,3.22068894350226e-13
"MSTRG.2373",264.865062123595,-3.37136036462951,0.395335031381468,-8.52785636741715,1.49084484814179e-17,5.52481384516508e-16
"MSTRG.2378",99.6504725780436,1.04434816704857,0.334550844799699,3.12164259418876,0.00179845128715442,0.0080653818231822
"MSTRG.2389",159.757822495469,1.37224208356896,0.308590364857002,4.44680793648515,8.71556967097507e-06,6.85262742973105e-05
"MSTRG.2391",17.7978505825377,2.75451229941249,0.795643025720181,3.46199515406954,0.000536186809400824,0.00281329963559548
"MSTRG.2396|SRRP1",194.973276211169,-2.01020338753301,0.294323794373815,-6.82990443164744,8.49712195969845e-12,1.78686831898526e-10
"MSTRG.2394",59.7500404332492,-1.03553583732914,0.331155328723773,-3.12703963218696,0.00176576122414216,0.00793668983359121
"MSTRG.2404|RWP11",305.917182265838,3.17528917741026,0.301859056777999,10.5191118375008,7.05353297434364e-26,4.73152182388672e-24
"MSTRG.2400",15.9653506660717,-2.95173643979049,0.631566224142935,-4.67367684805523,2.95854719230437e-06,2.53694623857901e-05
"MSTRG.2403|RWP4",73.0043334007664,3.80159292530684,0.464159476513029,8.19027320925576,2.60633853290312e-16,8.77872245679954e-15
"MSTRG.2408",84.5689316085899,-1.58015861157624,0.265968618652151,-5.94114681492881,2.8303498218587e-09,4.07950149301084e-08
"MSTRG.2417|NRT2D",54.2544418363427,-1.11713327634322,0.360842450698543,-3.09590314049969,0.00196214444659935,0.00865543074695795
"MSTRG.2398",106.159474611278,2.64161841749232,0.505304598962856,5.22777434227648,1.71562720410403e-07,1.85166607541384e-06
"MSTRG.2398|CIS2",2281.67325522621,-1.67531831209739,0.324088890447462,-5.16931731224826,2.34950681191393e-07,2.47859716627788e-06
"MSTRG.2413",21.8439798506245,-1.94319135661131,0.545860515295153,-3.55986795557214,0.000371041313668928,0.00203069372987616
"MSTRG.2409",954.924086586498,1.81435344328956,0.350523478243201,5.17612529803415,2.26541346180179e-07,2.39783909558755e-06
"MSTRG.2453|LZY1B",57.732463414376,4.55909388021558,0.700044252036868,6.51257955043601,7.387106904042e-11,1.34988765012023e-09
"MSTRG.2437",81.5190552558582,1.29627656870712,0.363121295405506,3.56981698707462,0.000357230712461489,0.00196581996078669
"MSTRG.2438|SSA15",57.2916331410464,-1.56777036967623,0.429100398078422,-3.65362133593197,0.000258567513339203,0.00148240401264574
"MSTRG.2440|CGLD16",690.252796378599,-2.93377982434821,0.24753618116167,-11.8519232646322,2.10307875114717e-32,1.91055691347073e-30
"MSTRG.2454|MCS1",56.3526983068533,1.82021716698595,0.396341621602238,4.59254609603602,4.37870751181512e-06,3.64464356140507e-05
"MSTRG.2456",533.519223752167,-1.27863682568835,0.334314409030327,-3.82465365282046,0.00013095605333011,0.000801362330963083
"MSTRG.2493",96.1124663764439,-3.78224959415471,0.399195190406867,-9.47468728343086,2.67560919731593e-21,1.37215596835254e-19
"MSTRG.2497",146.663188801992,-1.96921630330745,0.229723710869353,-8.57210731907153,1.01608331631251e-17,3.8008688382909e-16
"MSTRG.2509",149.057066092834,1.7383452153996,0.212813885342098,8.16838249348817,3.12551620367505e-16,1.04389614718542e-14
"MSTRG.2485",89.4932084485562,2.01810211775013,0.292051834995436,6.91008196466791,4.84373757408076e-12,1.05199098296087e-10
"MSTRG.2472",52.3806653514027,-1.79342486620312,0.382008524895317,-4.69472472294848,2.66965983991539e-06,2.31343084577047e-05
"MSTRG.2478",460.310501375713,-1.90007965781245,0.218690592950409,-8.68843799899214,3.67456664264842e-18,1.453190559324e-16
"MSTRG.2479",15.6660254142234,1.68106838442205,0.623894923741981,2.69447357311289,0.00704999170065567,0.0257361120682029
"MSTRG.2481",53.369231158739,1.95267056681812,0.435868992994123,4.47994832897978,7.4661111175449e-06,5.95565652517455e-05
